threshold_bpb,hours_a0d0,hours_a0d1,hours_a1d0,hours_a1d1,data_multiplier,algorithm_multiplier,total_multiplier
2.977168424,0.018269062329759812,0.018349934213636693,0.0007120105532084915,0.0007681344088555455,0.96065064420592,24.757886022940077,23.78367915711412
2.9333184535384613,0.01986163620740489,0.020012680162523003,0.0007935541392126056,0.000830675006218038,0.9737054326522407,24.55592433241615,23.910236926270947
2.889468483076923,0.021728947453010145,0.022030424041997218,0.0008584899938710701,0.00088174725895501,0.9799490048928474,25.147284501215598,24.643056422723554
2.8456185126153843,0.023869085513788954,0.024364355628329795,0.0009218277378964344,0.0009340926234739584,0.9832644555750906,25.988157968641058,25.553231996435308
2.801768542153846,0.02622001109334193,0.02694554694235969,0.0009969499520273172,0.0009925131503104655,0.9886475112632515,26.72114870964062,26.41779716988144
2.7579185716923074,0.02882818870310954,0.029893976105668463,0.0011265311427749625,0.0011243471457672105,0.9829653902878865,26.084271241345597,25.63993586112438
2.714068601230769,0.03210727136485,0.03334796745660084,0.0012249587820567988,0.0012490757755718417,0.971702588702397,26.453385028297063,25.704822711937492
2.6702186307692304,0.035759335597276766,0.03720103774605062,0.0013412210226117062,0.0013539210869206336,0.9758221973467331,27.06608216313313,26.411683769995793
2.6263686603076923,0.03985076184140847,0.0416384730940242,0.0014884661200839308,0.001453059052436867,0.990144914545005,27.698394896043936,27.425424847377233
2.582518689846154,0.04470066277552001,0.0468018085197065,0.001660987418495344,0.0015925035932261948,0.998087518170035,28.12321176617871,28.069426634675636
2.5386687193846154,0.050140804347045265,0.05260541796931622,0.0018679363193130792,0.001786622338284076,0.9982632051985599,28.11340654919714,28.064579330851718
2.494818748923077,0.05661059767248269,0.05911671346841124,0.0021153777374283964,0.001986930065385709,1.0097094086100356,28.217514413157573,28.491489790554485
2.4509687784615384,0.06454633864571717,0.0664307207433976,0.002332474831545863,0.002201359305134466,1.0146455153163478,28.897903621471805,29.321128311570423
2.407118808,0.07358418909374694,0.07494879250206543,0.0025572274022278804,0.002431404274808478,1.0161691845902365,29.78251104946506,30.264069968184625
2.3632688375384614,0.0836708798138479,0.08617620665132877,0.0028208038427171792,0.0026094248582166197,1.0244895359264852,31.2983911263682,32.064874200298576
2.319418867076923,0.09514022258102586,0.09894338818591578,0.0030706512684242583,0.0028004796081125484,1.0268044295951504,33.08598091654535,33.97283176260939
2.2755688966153844,0.10995433368285068,0.10885047055319393,0.0033002369461043674,0.003053237599943205,1.0449205734828921,34.46422119738585,36.01237377821368
2.231718926153846,0.1278724349346264,0.11974953715339128,0.0035471203885909836,0.0033495450834718486,1.063399853833453,35.90000517465481,38.17606025534814
2.1878689556923074,0.14125144422307007,0.13173991417376257,0.003814923427976781,0.0036460050146314956,1.0591855377966508,36.57662191071128,38.74142894928149
2.144018985230769,0.15351896819496144,0.1437350427493061,0.004102945253320605,0.003958553819934991,1.0521539119916796,36.85922628301677,38.781579126662635
2.1001690147692305,0.16685191238417296,0.1567163326484036,0.004490131252592025,0.004326431707743116,1.0511702377240968,36.68835839713458,38.56571041802283
2.056319044307692,0.1797948440492376,0.1708700150568095,0.004980160569556901,0.004762306877345816,1.048983535887374,35.99077380498361,37.75372916527439
2.0124690738461535,0.18737309183037748,0.1825866657952043,0.005476986771759257,0.005240462378677377,1.0356311976263672,34.52490488804932,35.75506859714694
1.9686191033846152,0.19527075833420673,0.19132735239757787,0.006019462065504034,0.005765804709669459,1.0322358832327145,32.8094033054021,33.86704339929009
1.9247691329230767,0.20350130687353227,0.20048646825352365,0.006593865953932605,0.0063541618302694735,1.0263181043149845,31.205197903067013,32.026459556649655
1.8809191624615382,0.21207876823194075,0.210084044173916,0.007221497339751613,0.007009051871915079,1.0198494179393196,29.668928767683504,30.257839734605156
1.837069192,0.22101776458236136,0.22014106987338872,0.00845590836477495,0.00842458700322359,1.0038501280797048,26.134228477283884,26.234848604185697
1.7932192215384612,0.23033353441378157,0.23067953987443893,0.009612336486705793,0.010078637056938036,0.9758602479990025,23.418967209637565,22.853639149077416
1.7493692510769228,0.24072022335849047,0.2424748600621373,0.010848332940964607,0.011791765844841776,0.9556855281926164,21.36085940327985,20.414264201471724
1.7055192806153845,0.26031733295993986,0.25780117743707187,0.012925427258394453,0.013896648991268717,0.9691176533847249,19.329316325336563,18.732381678741227
1.661669310153846,0.28150984945896146,0.2740962385581293,0.016331438607912464,0.01637117693983568,1.012202788823542,16.98815295672503,17.19545579975798
