step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000113,0.000904,18.1362,3.006698,2.552593,2.30e-02,428.9
7,917504,0.000126,0.001008,17.9126,2.931436,2.490712,2.30e-02,434.9
9,1179648,0.000146,0.001168,17.4347,2.808484,2.383001,2.30e-02,440.8
11,1441792,0.000165,0.001322,16.9994,2.749936,2.316025,2.30e-02,446.6
13,1703936,0.000184,0.001475,16.5728,2.682573,2.259166,2.30e-02,452.5
16,2097152,0.000322,0.002579,15.9839,2.622444,2.193293,2.30e-02,459.0
19,2490368,0.000353,0.002820,15.4623,2.541379,2.139584,2.30e-02,465.3
24,3145728,0.000399,0.003191,14.6359,2.487320,2.077505,2.30e-02,471.5
29,3801088,0.000443,0.003545,13.9546,2.395021,2.019499,2.30e-02,477.5
35,4587520,0.000496,0.003971,13.2556,2.306697,1.957371,2.30e-02,483.4
43,5636096,0.000567,0.004536,12.5237,2.205405,1.886036,2.30e-02,489.9
53,6946816,0.000656,0.005248,11.8055,2.124946,1.829472,2.30e-02,496.2
64,8388608,0.000753,0.006025,11.2480,2.031049,1.771265,2.30e-02,502.4
79,10354688,0.000883,0.007066,10.6969,1.956269,1.718135,2.30e-02,508.7
96,12582912,0.001033,0.008265,10.2243,1.869176,1.664819,2.30e-02,515.1
118,15466496,0.001226,0.009808,9.8439,1.811644,1.627050,2.30e-02,521.6
145,19005440,0.001460,0.011678,9.5277,1.759392,1.580915,2.30e-02,528.3
177,23199744,0.001738,0.013906,9.2549,1.709117,1.550560,2.30e-02,535.2
217,28442624,0.002086,0.016689,8.9701,1.654258,1.512798,2.30e-02,542.6
265,34734080,0.002503,0.020026,8.7742,1.624161,1.498708,2.30e-02,549.8
325,42598400,0.003023,0.024187,8.5871,1.592865,1.469407,2.30e-02,557.5
398,52166656,0.003657,0.029254,8.2495,1.563449,1.444830,2.30e-02,565.8
488,63963136,0.004437,0.035495,8.0026,1.538766,1.431286,2.30e-02,574.4
598,78381056,0.005393,0.043145,7.6649,1.503837,1.401812,2.30e-02,583.7
732,95944704,0.006555,0.052437,7.3693,1.478236,1.384679,2.30e-02,593.7
897,117571584,0.007986,0.063888,6.9688,1.452917,1.366681,2.30e-02,604.8
1010,144179200,0.009607,0.076853,6.5539,1.439748,1.350474,3.50e-02,640.5
1133,176422912,0.011541,0.092332,6.1032,1.400391,1.312680,3.44e-02,653.4
1285,216268800,0.013936,0.111485,5.5433,1.359302,1.281298,3.15e-02,668.0
1471,265027584,0.016867,0.134934,4.8718,1.322699,1.249321,2.80e-02,684.4
1698,324534272,0.020446,0.163564,4.0353,1.268029,1.200360,2.37e-02,703.3
1932,397934592,0.024801,0.198411,3.3387,1.238597,1.168970,2.16e-02,750.4
2159,487194624,0.030016,0.240129,3.2656,1.212718,1.146889,1.67e-02,775.2
2439,597295104,0.036466,0.291726,3.2110,1.189614,1.126694,1.05e-02,804.2
2594,658243584,0.040037,0.320297,3.1721,1.180304,1.116421,7.11e-03,823.1
2632,673185792,0.040911,0.327286,3.1442,1.176330,1.112686,6.28e-03,832.1
2669,687734784,0.041759,0.334072,3.1414,1.173985,1.111206,5.47e-03,841.0
2706,702283776,0.042608,0.340867,3.1421,1.174344,1.108946,4.66e-03,849.9
2743,716832768,0.043457,0.347654,3.1476,1.169859,1.106874,3.85e-03,858.7
2780,731381760,0.044310,0.354479,3.1359,1.166444,1.105323,3.45e-03,893.5
