step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000246,0.001972,18.1384,3.030629,2.564581,2.30e-02,161.2
7,917504,0.000256,0.002050,17.9176,2.948239,2.495110,2.30e-02,165.8
9,1179648,0.000275,0.002202,17.4406,2.828423,2.383903,2.30e-02,170.4
11,1441792,0.000294,0.002351,16.9994,2.763154,2.318055,2.30e-02,174.9
13,1703936,0.000313,0.002501,16.5770,2.703834,2.260531,2.30e-02,179.5
16,2097152,0.000346,0.002766,15.9890,2.612560,2.189875,2.30e-02,184.1
19,2490368,0.000381,0.003047,15.4664,2.577307,2.153084,2.30e-02,188.8
24,3145728,0.000431,0.003449,14.6325,2.484779,2.067594,2.30e-02,193.5
29,3801088,0.000478,0.003820,13.9492,2.408248,2.020472,2.30e-02,198.1
35,4587520,0.000531,0.004248,13.2465,2.315180,1.954129,2.30e-02,202.9
43,5636096,0.000602,0.004812,12.5136,2.213668,1.885960,2.30e-02,207.6
53,6946816,0.000693,0.005545,11.7947,2.126910,1.823997,2.30e-02,212.5
64,8388608,0.000792,0.006334,11.2396,2.045973,1.783228,2.30e-02,217.4
79,10354688,0.000927,0.007420,10.6912,1.959786,1.716198,2.30e-02,222.8
96,12582912,0.001076,0.008611,10.2251,1.887687,1.679885,2.30e-02,227.9
118,15466496,0.001268,0.010143,9.8441,1.826529,1.632969,2.30e-02,233.2
145,19005440,0.001503,0.012023,9.5274,1.764126,1.586769,2.30e-02,238.7
177,23199744,0.001782,0.014253,9.2573,1.707780,1.551676,2.30e-02,244.2
217,28442624,0.002130,0.017039,8.9642,1.657020,1.517035,2.30e-02,250.1
265,34734080,0.002547,0.020377,8.7698,1.628204,1.496923,2.30e-02,256.2
325,42598400,0.003068,0.024545,8.5783,1.596604,1.475489,2.30e-02,262.7
398,52166656,0.003702,0.029620,8.2498,1.566945,1.451771,2.30e-02,269.6
488,63963136,0.004484,0.035871,8.0070,1.528817,1.420335,2.30e-02,277.1
598,78381056,0.005440,0.043519,7.6647,1.507044,1.403688,2.30e-02,285.1
732,95944704,0.006603,0.052823,7.3702,1.480769,1.380091,2.30e-02,293.9
897,117571584,0.008036,0.064284,6.9700,1.452433,1.365207,2.30e-02,303.7
1010,144179200,0.009661,0.077291,6.5451,1.430448,1.339499,3.50e-02,319.1
1133,176422912,0.011605,0.092837,6.0995,1.396080,1.310314,3.44e-02,330.8
1285,216268800,0.014011,0.112086,5.5411,1.360260,1.280355,3.15e-02,344.2
1471,265027584,0.016958,0.135665,4.8710,1.320885,1.245679,2.80e-02,359.4
1698,324534272,0.020558,0.164460,4.0341,1.272393,1.204638,2.37e-02,377.0
1932,397934592,0.024940,0.199516,3.3368,1.242021,1.172001,2.16e-02,402.9
2159,487194624,0.030195,0.241559,3.2647,1.221125,1.159030,1.67e-02,426.5
2439,597295104,0.036684,0.293473,3.2100,1.210227,1.153954,1.05e-02,454.5
2594,658243584,0.040271,0.322168,3.1718,1.199505,1.146747,7.11e-03,472.1
2632,673185792,0.041148,0.329181,3.1437,1.194417,1.140886,6.28e-03,479.8
2669,687734784,0.042000,0.336004,3.1413,1.195715,1.144662,5.47e-03,487.5
2706,702283776,0.042854,0.342829,3.1421,1.196356,1.143751,4.66e-03,495.2
2743,716832768,0.043704,0.349632,3.1467,1.191452,1.134827,3.85e-03,502.8
2780,731381760,0.044561,0.356486,3.1370,1.185688,1.126584,3.45e-03,515.5
