step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
20,9830400,0.007906,0.039531,9.1014,2.647663,nan,1.80e-03,258.5
25,12288000,0.011775,0.058875,8.0115,2.580213,nan,1.80e-03,297.6
31,15237120,0.016196,0.080979,7.2016,2.510101,nan,1.80e-03,337.9
37,18186240,0.020800,0.103998,6.7287,2.473600,nan,1.80e-03,379.1
46,22609920,0.027438,0.137190,6.2903,2.412134,nan,1.80e-03,428.3
56,27525120,0.034815,0.174077,6.0002,2.407443,nan,1.80e-03,480.6
69,33914880,0.044409,0.222045,5.7795,2.363257,nan,1.80e-03,540.1
84,41287680,0.055468,0.277338,5.6126,2.308257,nan,1.80e-03,605.5
103,50626560,0.069473,0.347367,5.5166,2.246230,nan,1.80e-03,680.8
127,62423040,0.087194,0.435970,5.1748,2.164665,nan,1.80e-03,771.5
155,76185600,0.108355,0.541777,4.8795,2.084444,nan,1.80e-03,872.5
190,93388800,0.134359,0.671796,4.7670,2.024373,nan,1.80e-03,991.2
233,114524160,0.166201,0.831007,4.7466,1.942535,nan,1.80e-03,1131.3
285,140083200,0.205017,1.025087,4.3456,1.854243,nan,1.80e-03,1296.2
350,172032000,0.252919,1.264594,4.0479,1.680100,nan,1.80e-03,1494.1
428,210370560,0.310922,1.554611,3.8405,1.574376,nan,1.80e-03,1728.1
525,258048000,0.382363,1.911813,3.6872,1.490278,nan,1.80e-03,2010.3
643,316047360,0.469536,2.347682,3.5660,1.466025,nan,1.80e-03,2348.7
788,387317760,0.576232,2.881158,3.4070,1.428798,nan,1.80e-03,2757.3
966,474808320,0.707445,3.537225,3.2797,1.408998,nan,1.80e-03,3254.1
1183,581468160,0.867104,4.335521,3.1756,1.384200,nan,1.80e-03,3853.5
1450,712704000,1.063084,5.315418,3.1231,1.366195,nan,1.80e-03,4583.9
1777,873431040,1.304331,6.521657,2.9626,1.350919,nan,1.80e-03,5476.5
2177,1070039040,1.598646,7.993231,3.0633,1.331665,nan,1.80e-03,6561.1
2667,1310883840,1.958946,9.794728,3.1057,1.317631,nan,1.80e-03,7882.8
3268,1606287360,2.400316,12.001581,2.9274,1.316685,nan,1.80e-03,9496.7
4004,1968046080,2.941065,14.705326,2.8699,1.301186,nan,1.80e-03,11468.1
4906,2411397120,3.604394,18.021970,2.8695,1.273553,nan,1.80e-03,13883.4
6012,2955018240,4.416893,22.084466,2.7317,1.282537,nan,1.80e-03,16833.0
7366,3620536320,5.412188,27.060940,2.7574,1.269046,nan,1.80e-03,20442.3
9026,4436459520,6.631391,33.156957,2.7837,1.259429,nan,1.80e-03,24856.9
11059,5435719680,8.124955,40.624773,2.6644,1.255770,nan,1.80e-03,30259.1
13550,6660096000,9.956082,49.780409,2.6461,1.245038,nan,1.80e-03,36877.2
16603,8160706560,12.201276,61.006378,2.5932,1.220127,nan,1.16e-03,44984.7
18309,8999239680,13.456192,67.280959,2.5917,1.214273,nan,6.30e-04,49527.7
18716,9199288320,13.755486,68.777431,2.4461,1.214298,nan,5.04e-04,50630.3
19122,9398845440,14.053896,70.269482,2.5116,1.208744,nan,3.78e-04,51730.8
19529,9598894080,14.352842,71.764211,2.5743,1.214040,nan,2.52e-04,52832.9
19936,9798942720,14.651957,73.259785,2.5349,1.208200,nan,1.26e-04,53934.3
20343,9998991360,14.951736,74.758682,2.4278,1.208646,nan,0.00e+00,55038.5
