step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8704000,0.005305,0.026525,10.0717,3.231400,2.938919,4.86e-06,81.3
21,10752000,0.008331,0.041656,9.8327,3.217079,2.911497,6.00e-06,137.7
26,13312000,0.012123,0.060613,9.5755,3.192726,2.866698,7.43e-06,197.3
32,16384000,0.016695,0.083476,9.2890,3.153676,2.808480,9.14e-06,259.2
39,19968000,0.022010,0.110049,9.0011,3.106671,2.743635,1.11e-05,324.3
48,24576000,0.028841,0.144204,8.6704,3.043317,2.659378,1.37e-05,395.1
59,30208000,0.037195,0.185975,8.3129,2.973065,2.565916,1.69e-05,471.7
72,36864000,0.047058,0.235291,7.9580,2.905163,2.474094,2.06e-05,553.4
88,45056000,0.059248,0.296241,7.5582,2.815284,2.367001,2.51e-05,643.1
108,55296000,0.074468,0.372342,7.1630,2.741995,2.271570,3.09e-05,744.6
132,67584000,0.092707,0.463533,6.8301,2.684112,2.200240,3.77e-05,856.5
162,82944000,0.115544,0.577721,6.5675,2.619210,2.136260,4.63e-05,984.1
198,101376000,0.142926,0.714629,6.3514,2.541296,2.084887,5.66e-05,1128.8
243,124416000,0.177164,0.885818,6.1773,2.465289,2.040295,6.94e-05,1298.2
298,152576000,0.219010,1.095050,6.0120,2.401685,1.982699,8.51e-05,1495.0
365,186880000,0.269979,1.349894,5.8468,2.325993,1.932880,1.04e-04,1722.8
447,228864000,0.332310,1.661550,5.6138,2.238471,1.851005,1.28e-04,1992.6
548,280576000,0.409133,2.045663,5.2878,2.109625,1.739380,1.57e-04,2315.4
671,343552000,0.502584,2.512921,4.9319,1.963091,1.629307,1.92e-04,2698.0
823,421376000,0.617883,3.089413,4.5064,1.697832,1.491413,2.00e-04,3158.9
1008,516096000,0.758245,3.791223,4.1785,1.550057,1.392440,2.00e-04,3709.8
1235,632320000,0.930360,4.651798,3.9576,1.455936,1.319654,2.00e-04,4375.3
1513,774656000,1.141122,5.705608,3.7845,1.382136,1.264764,1.99e-04,5179.8
1854,949248000,1.399643,6.998217,3.6432,1.328644,1.220632,1.98e-04,6155.8
2272,1163264000,1.716453,8.582263,3.5345,1.285210,1.185731,1.96e-04,7341.9
2783,1424896000,2.103863,10.519316,3.4395,1.242784,1.154891,1.93e-04,8781.6
3410,1745920000,2.579204,12.896020,3.3606,1.214743,1.127929,1.88e-04,10536.8
4179,2139648000,3.162282,15.811410,3.2806,1.183945,1.104725,1.81e-04,12679.8
5120,2621440000,3.875753,19.378765,3.2204,1.156949,1.083152,1.70e-04,15294.5
6273,3211776000,4.750128,23.750639,3.1625,1.129381,1.063217,1.55e-04,18488.1
7687,3935744000,5.822308,29.111539,3.1037,1.109817,1.043958,1.32e-04,22394.2
9418,4822016000,7.134620,35.673102,3.0635,1.087272,1.025837,1.03e-04,27164.9
11540,5908480000,8.743542,43.717711,2.9981,1.068786,1.008316,6.86e-05,33004.2
14140,7239680000,10.715057,53.575283,2.9544,1.049792,0.993343,3.58e-05,40148.1
15592,7983104000,11.815580,59.077899,2.9325,1.044979,0.988092,2.48e-05,44156.3
15939,8160768000,12.078564,60.392820,2.9306,1.044137,0.987084,2.31e-05,45148.5
16286,8338432000,12.341530,61.707651,2.9140,1.043074,0.986208,2.17e-05,46141.1
16632,8515584000,12.603748,63.018738,2.9236,1.040825,0.985359,2.08e-05,47131.1
16978,8692736000,12.865954,64.329772,2.9346,1.040751,0.984686,2.02e-05,48121.1
17325,8870400000,13.128807,65.644036,2.9230,1.040353,0.984089,2.00e-05,49114.3
