step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8704000,0.005256,0.026282,10.0557,3.251958,2.884067,4.86e-06,81.6
21,10752000,0.008252,0.041259,9.8170,3.231368,2.856571,6.00e-06,140.0
26,13312000,0.011998,0.059990,9.5460,3.203404,2.811003,7.43e-06,198.4
32,16384000,0.016494,0.082470,9.2671,3.168981,2.767596,9.14e-06,259.6
39,19968000,0.021750,0.108751,8.9929,3.111806,2.714918,1.11e-05,323.7
48,24576000,0.028567,0.142834,8.6881,3.058051,2.640935,1.37e-05,394.0
59,30208000,0.036901,0.184506,8.3476,2.972912,2.542797,1.69e-05,469.1
72,36864000,0.046758,0.233791,7.9615,2.887573,2.443275,2.06e-05,549.5
88,45056000,0.058906,0.294528,7.5683,2.801127,2.341526,2.51e-05,638.3
108,55296000,0.074067,0.370333,7.1855,2.739928,2.257524,3.09e-05,738.7
132,67584000,0.092277,0.461383,6.8695,2.665067,2.184866,3.77e-05,849.5
162,82944000,0.115033,0.575163,6.6050,2.588503,2.115433,4.63e-05,976.5
198,101376000,0.142331,0.711657,6.3941,2.530931,2.068212,5.66e-05,1119.8
243,124416000,0.176475,0.882373,6.2063,2.449808,2.009876,6.94e-05,1288.0
298,152576000,0.218196,1.090981,6.0474,2.394169,1.957445,8.51e-05,1483.4
365,186880000,0.269041,1.345206,5.8620,2.336166,1.902936,1.04e-04,1711.5
447,228864000,0.331173,1.655863,5.6090,2.261579,1.819193,1.28e-04,1980.5
548,280576000,0.407652,2.038260,5.2581,2.157649,1.702739,1.57e-04,2301.3
671,343552000,0.500773,2.503866,4.8752,2.016615,1.585731,1.92e-04,2679.9
823,421376000,0.615792,3.078959,4.4081,1.748383,1.434401,2.00e-04,3139.1
1008,516096000,0.755794,3.778968,4.0448,1.591930,1.325266,2.00e-04,3688.1
1235,632320000,0.927535,4.637674,3.7752,1.494437,1.245227,2.00e-04,4351.3
1513,774656000,1.137871,5.689356,3.5999,1.430196,1.188656,1.99e-04,5153.6
1854,949248000,1.396242,6.981211,3.4393,1.389309,1.141209,1.98e-04,6130.1
2272,1163264000,1.713100,8.565499,3.3308,1.351847,1.103798,1.96e-04,7314.1
2783,1424896000,2.100600,10.503002,3.2362,1.311288,1.073980,1.93e-04,8753.9
3410,1745920000,2.575861,12.879306,3.1573,1.304636,1.047770,1.88e-04,10509.8
4179,2139648000,3.159128,15.795642,3.0749,1.285839,1.023939,1.81e-04,12654.5
5120,2621440000,3.872861,19.364303,3.0154,1.265006,1.000601,1.70e-04,15269.0
6273,3211776000,4.746511,23.732556,2.9414,1.245398,0.979931,1.55e-04,18459.2
7687,3935744000,5.817545,29.087726,2.8837,1.218154,0.960163,1.32e-04,22360.3
9418,4822016000,7.128151,35.640755,2.8255,1.208966,0.941274,1.03e-04,27123.7
11540,5908480000,8.734351,43.671757,2.7772,1.199934,0.922923,6.86e-05,32952.1
14140,7239680000,10.703003,53.515014,2.7224,1.187015,0.907393,3.58e-05,40085.1
15592,7983104000,11.802173,59.010863,2.7059,1.190481,0.901780,2.48e-05,44085.3
15939,8160768000,12.064840,60.324200,2.7159,1.188868,0.900744,2.31e-05,45076.2
16286,8338432000,12.327520,61.637601,2.7066,1.188727,0.900007,2.17e-05,46066.9
16632,8515584000,12.589379,62.946895,2.6909,1.187838,0.899131,2.08e-05,47055.0
16978,8692736000,12.851265,64.256326,2.7027,1.186213,0.898410,2.02e-05,48043.4
17325,8870400000,13.113963,65.569815,2.6973,1.187956,0.897833,2.00e-05,49034.3
