step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.001721,0.013769,10.2583,3.350081,3.002863,7.29e-06,43.3
23,12058624,0.003196,0.025567,9.9408,3.352866,2.952335,9.86e-06,77.2
30,15728640,0.004917,0.039335,9.6274,3.278575,2.881524,1.29e-05,112.1
40,20971520,0.007376,0.059006,9.2292,3.198340,2.791765,1.71e-05,149.5
54,28311552,0.010817,0.086539,8.7426,3.095226,2.668803,2.31e-05,190.6
71,37224448,0.014994,0.119955,8.2309,2.959913,2.513929,3.04e-05,234.3
95,49807360,0.020892,0.167139,7.5917,2.805853,2.332088,4.07e-05,284.1
127,66584576,0.028758,0.230062,6.9580,2.687626,2.195419,5.44e-05,340.9
169,88604672,0.039079,0.312631,6.5240,2.575526,2.089694,7.24e-05,406.6
226,118489088,0.053085,0.424678,6.2001,2.464963,2.005354,9.69e-05,485.7
301,157810688,0.071512,0.572094,5.9465,2.370040,1.929493,1.29e-04,580.6
401,210239488,0.096089,0.768712,5.6338,2.275747,1.826242,1.72e-04,697.6
535,280494080,0.129015,1.032117,5.1976,2.134733,1.681656,2.29e-04,844.8
713,373817344,0.172748,1.381984,4.6768,1.869749,1.511169,3.00e-04,1030.9
951,498597888,0.231252,1.850013,4.1190,1.632910,1.356152,3.00e-04,1270.1
1269,665321472,0.309457,2.475654,3.8071,1.520023,1.256882,2.99e-04,1580.3
1692,887095296,0.413443,3.307545,3.6075,1.444304,1.194469,2.98e-04,1983.3
2256,1182793728,0.552216,4.417727,3.4488,1.410522,1.143025,2.94e-04,2511.5
3009,1577582592,0.737274,5.898192,3.3277,1.353481,1.104145,2.87e-04,3206.5
4012,2103443456,0.984042,7.872339,3.2425,1.329048,1.071671,2.73e-04,4123.6
5350,2804940800,1.313026,10.504211,3.1388,1.306587,1.042894,2.49e-04,5336.6
7135,3740794880,1.751745,14.013960,3.0588,1.272324,1.016956,2.08e-04,6944.7
9514,4988076032,2.336611,18.692887,2.9857,1.262881,0.992271,1.47e-04,9078.8
12687,6651641856,3.116723,24.933785,2.9284,1.243468,0.970117,7.29e-05,11915.9
15227,7983333376,3.740986,29.927885,2.8926,1.240492,0.961038,3.72e-05,14191.9
15565,8160542720,3.824063,30.592503,2.8899,1.242241,0.960674,3.46e-05,14519.7
15904,8338276352,3.907373,31.258982,2.8974,1.239750,0.960129,3.26e-05,14848.3
16242,8515485696,3.990448,31.923583,2.8801,1.240198,0.959487,3.12e-05,15176.1
16581,8693219328,4.073836,32.590691,2.8859,1.240345,0.959048,3.03e-05,15505.0
16919,8870428672,4.156894,33.255154,2.8936,1.237587,0.958560,3.00e-05,15832.7
