step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8878080,0.000583,0.002913,10.4426,3.413075,3.194641,1.46e-05,10.9
23,12011520,0.001081,0.005405,10.1917,3.383399,3.134633,1.97e-05,17.9
30,15667200,0.001664,0.008318,9.9150,3.320040,3.058659,2.57e-05,25.3
40,20889600,0.002496,0.012482,9.5352,3.224393,2.933649,3.43e-05,33.5
54,28200960,0.003660,0.018298,9.0047,3.081877,2.757191,4.63e-05,42.9
72,37601280,0.005156,0.025781,8.3405,2.911519,2.531340,6.17e-05,53.6
96,50135040,0.007154,0.035772,7.5176,2.769782,2.318444,8.23e-05,66.1
127,66324480,0.009737,0.048684,6.8685,2.647492,2.180441,1.09e-04,80.9
170,88780800,0.013322,0.066611,6.3842,2.528064,2.076061,1.46e-04,99.1
226,118026240,0.017988,0.089941,6.0766,2.406898,1.994331,1.94e-04,121.2
302,157716480,0.024323,0.121617,5.8271,2.316187,1.920584,2.59e-04,149.4
403,210462720,0.032746,0.163728,5.5144,2.184993,1.818160,3.45e-04,185.1
537,280442880,0.043931,0.219654,5.1210,2.035629,1.690368,4.60e-04,230.7
716,373923840,0.058892,0.294462,4.6577,1.754834,1.536906,6.00e-04,289.8
955,498739200,0.078884,0.394419,4.2392,1.553932,1.409019,6.00e-04,367.0
1274,665333760,0.105523,0.527615,4.0119,1.466884,1.339708,5.98e-04,468.4
1698,886763520,0.140985,0.704927,3.8333,1.396157,1.284967,5.95e-04,601.3
2265,1182873600,0.188406,0.942029,3.7196,1.349718,1.246704,5.88e-04,777.3
3020,1577164800,0.251540,1.257701,3.6110,1.309626,1.213950,5.73e-04,1010.0
4028,2103582720,0.335809,1.679045,3.5423,1.277095,1.187760,5.46e-04,1318.6
5371,2804951040,0.447955,2.239775,3.4691,1.252472,1.165346,4.98e-04,1727.7
7163,3740805120,0.597599,2.987994,3.3927,1.226894,1.144702,4.16e-04,2271.8
9551,4987914240,0.796986,3.984928,3.3461,1.199657,1.124632,2.93e-04,2995.0
12737,6651770880,1.063153,5.315765,3.2868,1.179022,1.105267,1.46e-04,3958.7
15286,7982960640,1.276114,6.380569,3.2572,1.167220,1.095770,7.44e-05,4730.8
15626,8160522240,1.304507,6.522537,3.2568,1.166143,1.094896,6.92e-05,4838.4
15966,8338083840,1.332866,6.664332,3.2402,1.165514,1.094123,6.52e-05,4945.8
16306,8515645440,1.361257,6.806286,3.2497,1.163821,1.093482,6.23e-05,5053.4
16645,8692684800,1.389553,6.947766,3.2613,1.163837,1.092940,6.06e-05,5160.6
16985,8870246400,1.417938,7.089690,3.2523,1.164077,1.092543,6.00e-05,5268.2
