step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
18,8847360,0.000569,0.002846,8.2055,2.575678,nan,1.80e-03,58.6
22,10813440,0.000863,0.004317,7.5137,2.537010,nan,1.80e-03,62.5
27,13271040,0.001228,0.006142,6.9759,2.477252,nan,1.80e-03,66.7
33,16220160,0.001659,0.008293,6.5516,2.424095,nan,1.80e-03,71.1
41,20152320,0.002229,0.011145,6.1684,2.367965,nan,1.80e-03,76.2
50,24576000,0.002866,0.014331,5.9069,2.334938,nan,1.80e-03,81.3
61,29982720,0.003648,0.018242,5.6662,2.315223,nan,1.80e-03,87.1
75,36864000,0.004657,0.023285,5.5873,2.266166,nan,1.80e-03,93.5
92,45219840,0.005869,0.029343,5.4718,2.204534,nan,1.80e-03,100.7
112,55050240,0.007293,0.036463,5.3842,2.143899,nan,1.80e-03,108.7
138,67829760,0.009135,0.045677,4.9531,2.064663,nan,1.80e-03,118.2
169,83066880,0.011394,0.056972,4.8381,1.998893,nan,1.80e-03,129.3
207,101744640,0.014094,0.070468,4.5900,1.940428,nan,1.80e-03,141.8
253,124354560,0.017380,0.086901,4.4041,1.839117,nan,1.80e-03,156.6
310,152371200,0.021454,0.107268,4.1789,1.702755,nan,1.80e-03,174.1
380,186777600,0.026426,0.132132,4.0089,1.623335,nan,1.80e-03,195.4
466,229048320,0.032584,0.162921,3.8042,1.566119,nan,1.80e-03,220.5
571,280657920,0.040235,0.201176,3.7454,1.529904,nan,1.80e-03,250.9
699,343572480,0.049405,0.247026,3.6457,1.512302,nan,1.80e-03,286.9
857,421232640,0.060642,0.303209,3.5852,1.491934,nan,1.80e-03,330.3
1050,516096000,0.074771,0.373854,3.5801,1.447540,nan,1.80e-03,384.1
1286,632094720,0.091665,0.458326,3.4150,1.445243,nan,1.80e-03,447.8
1576,774635520,0.112654,0.563272,3.3565,1.434168,nan,1.80e-03,526.2
1931,949125120,0.138007,0.690034,3.3895,1.427382,nan,1.80e-03,620.3
2366,1162936320,0.169360,0.846802,3.2980,1.409472,nan,1.80e-03,736.1
2899,1424916480,0.207766,1.038831,3.2498,1.410208,nan,1.80e-03,877.2
3552,1745879040,0.254784,1.273921,3.1328,1.413075,nan,1.80e-03,1049.3
4352,2139095040,0.313056,1.565278,3.2163,1.390533,nan,1.80e-03,1262.0
5333,2621276160,0.383845,1.919225,3.1909,1.392559,nan,1.80e-03,1519.7
6534,3211591680,0.470834,2.354169,3.1587,1.393607,nan,1.80e-03,1835.7
8006,3935109120,0.577628,2.888140,3.1025,1.403333,nan,1.80e-03,2223.0
9810,4821811200,0.708612,3.543060,3.0916,1.392537,nan,1.80e-03,2697.4
12020,5908070400,0.868662,4.343311,3.0660,1.412352,nan,1.80e-03,3276.5
14728,7239106560,1.063370,5.316852,3.0176,1.401815,nan,1.16e-03,3980.2
16241,7982776320,1.172152,5.860759,2.9540,1.375684,nan,6.30e-04,4374.7
16602,8160215040,1.198170,5.990848,2.9702,1.376865,nan,5.04e-04,4471.3
16963,8337653760,1.224236,6.121181,2.9932,1.375538,nan,3.78e-04,4568.0
17324,8515092480,1.250280,6.251399,2.9143,1.363535,nan,2.52e-04,4664.6
17685,8692531200,1.276026,6.380131,2.9146,1.369335,nan,1.26e-04,4760.1
18046,8869969920,1.301892,6.509462,2.9221,1.367298,nan,0.00e+00,4856.2
