step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000368,0.002944,10.4809,3.485852,3.067755,1.46e-05,6.9
23,12058624,0.000686,0.005489,10.2380,3.483394,3.016467,1.97e-05,11.7
30,15728640,0.001054,0.008435,9.9746,3.422024,2.938431,2.57e-05,16.7
40,20971520,0.001580,0.012643,9.6031,3.298450,2.827211,3.43e-05,22.2
54,28311552,0.002315,0.018522,9.1012,3.177821,2.667668,4.63e-05,28.5
71,37224448,0.003207,0.025658,8.4765,3.020116,2.473249,6.09e-05,35.4
95,49807360,0.004466,0.035729,7.7005,2.867329,2.280724,8.14e-05,43.6
127,66584576,0.006149,0.049195,7.0540,2.744266,2.150391,1.09e-04,53.4
169,88604672,0.008359,0.066873,6.5871,2.623088,2.051804,1.45e-04,65.0
226,118489088,0.011365,0.090918,6.2639,2.521446,1.971702,1.94e-04,79.6
301,157810688,0.015324,0.122595,6.0054,2.425390,1.891793,2.58e-04,97.5
401,210239488,0.020613,0.164900,5.6944,2.304485,1.795048,3.44e-04,120.3
535,280494080,0.027710,0.221677,5.2648,2.173969,1.669718,4.59e-04,149.5
714,374341632,0.037199,0.297592,4.7826,1.891339,1.496746,6.00e-04,187.4
952,499122176,0.049813,0.398505,4.2901,1.672229,1.360386,6.00e-04,236.6
1269,665321472,0.066581,0.532648,4.0267,1.603361,1.285724,5.98e-04,300.6
1692,887095296,0.088911,0.711289,3.8598,1.517041,1.230247,5.95e-04,384.7
2257,1183318016,0.118717,0.949733,3.7431,1.474369,1.190408,5.88e-04,495.7
3010,1578106880,0.158447,1.267578,3.6231,1.439539,1.157555,5.73e-04,642.4
4014,2104492032,0.211410,1.691282,3.5442,1.406698,1.130614,5.46e-04,836.8
5352,2805989376,0.281910,2.255279,3.4688,1.376388,1.107150,4.98e-04,1094.3
7137,3741843456,0.375993,3.007944,3.4034,1.354540,1.085845,4.16e-04,1436.7
9518,4990173184,0.501650,4.013200,3.3353,1.340122,1.065137,2.93e-04,1892.8
12692,6654263296,0.668921,5.351368,3.2947,1.323131,1.045638,1.46e-04,2498.7
15232,7985954816,0.802756,6.422047,3.2461,1.313304,1.035651,7.44e-05,2984.2
15571,8163688448,0.820600,6.564802,3.2107,1.311741,1.034781,6.92e-05,3052.2
15910,8341422080,0.838446,6.707571,3.2459,1.312038,1.034062,6.52e-05,3120.1
16248,8518631424,0.856231,6.849844,3.2266,1.311786,1.033252,6.23e-05,3187.8
16586,8695840768,0.874040,6.992317,3.2507,1.312437,1.032892,6.06e-05,3255.6
16925,8873574400,0.891904,7.135235,3.2268,1.312304,1.032281,6.00e-05,3323.6
