step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
34,4456448,0.000966,0.007725,13.6282,2.484881,2.071911,1.50e-02,170.6
41,5373952,0.001119,0.008949,12.9894,2.403761,2.004145,1.50e-02,179.4
50,6553600,0.001306,0.010451,12.3500,2.319042,1.940533,1.50e-02,188.1
62,8126464,0.001548,0.012380,11.6785,2.208470,1.860380,1.50e-02,197.0
75,9830400,0.001813,0.014503,11.1461,2.117952,1.794025,1.50e-02,205.9
92,12058624,0.002160,0.017279,10.6166,2.018111,1.720775,1.50e-02,215.3
113,14811136,0.002587,0.020698,10.1571,1.933434,1.657388,1.50e-02,225.4
138,18087936,0.003090,0.024723,9.6938,1.860938,1.604386,1.50e-02,235.6
169,22151168,0.003714,0.029709,9.3188,1.794450,1.551101,1.50e-02,245.9
207,27131904,0.004486,0.035890,8.9894,1.741052,1.509007,1.50e-02,257.1
254,33292288,0.005446,0.043565,8.6841,1.692388,1.475911,1.50e-02,269.1
311,40763392,0.006605,0.052840,8.4697,1.652460,1.442957,1.50e-02,281.3
381,49938432,0.008041,0.064326,8.0973,1.610163,1.409389,1.50e-02,294.5
467,61210624,0.009765,0.078123,7.7556,1.569983,1.373854,1.50e-02,308.9
572,74973184,0.011871,0.094971,7.3875,1.535283,1.345428,1.50e-02,324.5
700,91750400,0.014448,0.115585,6.9713,1.496149,1.316224,1.50e-02,342.1
821,112459776,0.017497,0.139975,6.5728,1.472973,1.295815,2.28e-02,364.3
918,137887744,0.020987,0.167898,6.1281,1.439239,1.263239,2.28e-02,384.9
1036,168820736,0.025243,0.201943,5.5756,1.403464,1.231067,2.28e-02,408.4
1181,206831616,0.030460,0.243680,4.9914,1.370607,1.194963,2.28e-02,435.0
1359,253493248,0.036884,0.295073,4.2090,1.328711,1.156903,2.28e-02,466.0
1573,310378496,0.044687,0.357500,3.2751,1.340494,1.120398,2.59e-02,505.0
1751,380370944,0.054080,0.432639,3.1652,1.319995,1.101152,2.59e-02,546.6
1969,466092032,0.065585,0.524677,3.1188,1.337518,1.094107,2.59e-02,596.0
2236,571080704,0.079678,0.637424,3.0668,1.332316,1.085953,2.59e-02,654.5
2510,699793408,0.096722,0.773780,3.0473,1.315956,1.074083,3.00e-02,726.5
2810,857079808,0.117418,0.939342,3.0307,1.321564,1.067314,3.00e-02,808.7
3179,1050542080,0.142872,1.142974,2.9873,1.312451,1.061812,2.84e-02,912.4
3630,1286995968,0.174112,1.392898,2.9531,1.294919,1.044212,2.65e-02,1032.7
4183,1576927232,0.212518,1.700145,2.8948,1.279689,1.030612,2.41e-02,1181.8
4860,1931870208,0.259675,2.077397,2.8817,1.279136,1.023147,2.12e-02,1362.4
5690,2367029248,0.317702,2.541615,2.8015,1.259910,1.008584,1.76e-02,1582.4
6707,2900230144,0.389043,3.112345,2.7487,1.243092,0.984574,1.32e-02,1850.3
7954,3554017280,0.476679,3.813430,2.6699,1.221117,0.957824,7.77e-03,2173.6
8650,3918921728,0.525633,4.205067,2.6325,1.216243,0.953373,4.75e-03,2357.5
8816,4005953536,0.537294,4.298353,2.6311,1.214423,0.950259,4.03e-03,2407.4
8982,4092985344,0.548956,4.391651,2.6336,1.213876,0.946018,3.31e-03,2457.5
9148,4180017152,0.560630,4.485043,2.6037,1.211461,0.942502,2.60e-03,2507.8
9314,4267048960,0.572297,4.578373,2.5883,1.212184,0.942293,1.88e-03,2558.2
9480,4354080768,0.583960,4.671679,2.6125,1.207031,0.939118,1.50e-03,2612.5
