gpu_hours,bpb_a0d0,bpb_a0d1,bpb_a1d0,bpb_a1d1
0.0077,3.3522,3.3407,2.4849,2.3562
0.0653,2.8655,2.8715,1.607,1.6067
0.5524,1.9988,1.9681,1.3361,1.2497
4.6717,1.287,1.2062,1.207,1.0822
