step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000749,0.005993,10.3567,3.347082,3.105021,7.29e-06,29.9
23,12058624,0.001392,0.011133,10.0582,3.331466,3.057022,9.86e-06,43.7
30,15728640,0.002139,0.017114,9.7541,3.274895,2.989134,1.29e-05,58.3
40,20971520,0.003209,0.025668,9.3652,3.207065,2.892813,1.71e-05,73.8
54,28311552,0.004710,0.037681,8.8937,3.103756,2.758650,2.31e-05,91.1
71,37224448,0.006533,0.052268,8.3780,2.974399,2.596774,3.04e-05,109.4
95,49807360,0.009114,0.072909,7.7093,2.820758,2.397220,4.07e-05,130.5
127,66584576,0.012557,0.100457,7.0625,2.717422,2.238239,5.44e-05,154.6
169,88604672,0.017083,0.136662,6.5581,2.594445,2.125600,7.24e-05,182.7
226,118489088,0.023231,0.185851,6.2321,2.486494,2.045334,9.69e-05,216.7
301,157810688,0.031328,0.250627,5.9941,2.379498,1.972138,1.29e-04,257.7
401,210239488,0.042132,0.337052,5.6941,2.274156,1.879871,1.72e-04,308.4
535,280494080,0.056633,0.453065,5.2834,2.125205,1.751615,2.29e-04,372.4
714,374341632,0.075991,0.607924,4.8254,1.892213,1.598479,3.00e-04,453.8
952,499122176,0.101728,0.813826,4.3073,1.595306,1.435650,3.00e-04,558.2
1269,665321472,0.136110,1.088881,4.0188,1.467821,1.338437,2.99e-04,693.8
1692,887095296,0.181900,1.455203,3.8042,1.391734,1.273662,2.98e-04,870.5
2257,1183318016,0.243093,1.944745,3.6692,1.327017,1.223993,2.94e-04,1102.6
3010,1578106880,0.324692,2.597537,3.5303,1.277626,1.185338,2.87e-04,1408.3
4014,2104492032,0.433512,3.468096,3.4345,1.241272,1.152856,2.73e-04,1812.0
5352,2805989376,0.578906,4.631250,3.3591,1.207195,1.124701,2.49e-04,2347.2
7137,3741843456,0.772395,6.179163,3.2663,1.174725,1.099399,2.08e-04,3055.7
9518,4990173184,1.030515,8.244122,3.2033,1.146773,1.075483,1.47e-04,3997.0
12692,6654263296,1.374614,10.996912,3.1400,1.120676,1.053759,7.29e-05,5247.8
15232,7985954816,1.649908,13.199265,3.1044,1.109005,1.043659,3.72e-05,6250.9
15571,8163688448,1.686622,13.492974,3.1066,1.108833,1.042771,3.46e-05,6394.9
15910,8341422080,1.723322,13.786580,3.0923,1.107036,1.041965,3.26e-05,6538.8
16248,8518631424,1.759926,14.079410,3.0963,1.105989,1.041269,3.12e-05,6682.5
16586,8695840768,1.796535,14.372278,3.0995,1.106627,1.040704,3.03e-05,6826.3
16925,8873574400,1.833259,14.666076,3.0938,1.104057,1.040185,3.00e-05,6970.4
